Organization Name,IPO Status,Company Type,Number of Employees,Last Funding Type,Last Funding Date,Founded Date,Founded Date Precision,Operating Status,Number of Founders,Number of Funding Rounds,Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Industries,Headquarters Location
Advocate Aurora Health,Private,For Profit,10001+,Grant,2019-08-20,2018-01-01,year,Active,1.0,1.0,10170000.0,0.0,0.0,10170000.0,National Cancer Institute,1.0,"Great Lakes, Midwestern US",Health Care,Health Care,"Milwaukee, Wisconsin, United States"
DenizBank,Private,For Profit,10001+,Debt Financing,2023-05-18,1938-01-01,year,Active,1.0,2.0,143250000.0,0.0,0.0,171891248.0,"European Bank for Reconstruction and Development, Green for Growth Fund",2.0,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Financial Services, Lending and Investments","Banking, Financial Services","Istanbul, Istanbul, Turkey"
VillageMD,Private,For Profit,10001+,Corporate Round,2020-07-08,2013-01-01,day,Active,3.0,4.0,275000000.0,275000000.0,491000000.0,491000000.0,"Walgreens Boots Alliance, Kinnevik, Adams Street Partners, Oak HC/FT, Town Hall Ventures",7.0,"Greater Chicago Area, Great Lakes, Midwestern US",Health Care,"Health Care, Hospital, Medical","Chicago, Illinois, United States"
Alsea Europe,Private,For Profit,10001+,Private Equity,2021-10-01,2014-01-01,year,Active,1.0,1.0,128460938.0,128460938.0,128460938.0,128460938.0,"Bain Capital Credit, Alsea, Alia Capital Partners",3.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Food and Beverage, Travel and Tourism","Hotel, Restaurants","Madrid, Madrid, Spain"
StartX,Private,For Profit,10001+,Seed,2021-09-01,2021-09-01,day,Active,1.0,1.0,1000000.0,1000000.0,1000000.0,1000000.0,StartX,1.0,"Greater New York Area, East Coast, Northeastern US","Apps, Artificial Intelligence (AI), Commerce and Shopping, Community and Lifestyle, Data and Analytics, Financial Services, Information Technology, Lending and Investments, Media and Entertainment, Professional Services, Science and Engineering, Software","Advice, Apps, Artificial Intelligence (AI), Business Development, Funding Platform, Information Technology, Marketplace, Professional Networking, Software, Venture Capital","New York, New York, United States"
Wake Forest Baptist Medical Center,Private,For Profit,10001+,Grant,2022-04-12,1902-01-01,year,Active,1.0,3.0,2500000.0,0.0,0.0,33500000.0,National Cancer Institute,1.0,"East Coast, Southern US","Education, Health Care, Other, Social Impact, Travel and Tourism","Education, Health Care, Hospitality, Non Profit","Winston Salem, North Carolina, United States"
Charoen Pokphand Group,Private,For Profit,10001+,Seed,2019-12-01,1921-01-01,year,Active,2.0,1.0,20000000.0,20000000.0,20000000.0,20000000.0,Orion Venture Partners,1.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Agriculture and Farming,Agriculture,"Bangkok, Krung Thep, Thailand"
Yintai Group,Private,For Profit,10001+,Corporate Round,2016-08-05,1997-01-01,year,Active,1.0,1.0,550000000.0,550000000.0,550000000.0,550000000.0,"JD.com, Tencent, Baidu",3.0,Asia-Pacific (APAC),"Financial Services, Lending and Investments","Angel Investment, Finance, Financial Services","Beijing, Beijing, China"
"University of California, San Francisco",Private,For Profit,10001+,Grant,2023-11-21,1873-01-01,year,Active,2.0,8.0,0.0,0.0,0.0,40554052.0,"National Institutes of Health, U.S. Department of Defense, National Institute on Aging, American Medical Association, U.S. Food and Drug Administration",9.0,"San Francisco Bay Area, West Coast, Western US","Biotechnology, Education, Health Care, Other, Science and Engineering","Association, Biotechnology, Education, Medical, Pharmaceutical","San Francisco, California, United States"
REEF,Private,For Profit,10001+,Private Equity,2020-11-03,2013-01-01,year,Active,4.0,3.0,700000000.0,700000000.0,1501900000.0,1501900000.0,"SoftBank, Oaktree Capital Management, Mubadala Capital Ventures, Target Global, SoftBank Vision Fund",7.0,"Greater Miami Area, East Coast, Southern US","Apps, Commerce and Shopping, Food and Beverage, Internet Services, Software, Transportation","Apps, E-Commerce Platforms, Food Delivery, Last Mile Transportation, Parking","Miami, Florida, United States"
Didi Freight,Private,For Profit,10001+,Series A,2021-01-14,2020-06-23,day,Active,1.0,1.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,"Didi, Temasek Holdings, YF Capital, IDG Capital, CPE",9.0,Asia-Pacific (APAC),Transportation,"Freight Service, Logistics, Transportation","Beijing, Beijing, China"
Methodist Le Bonheur Healthcare,Private,Non-profit,10001+,Grant,2021-07-01,1918-01-01,year,Active,1.0,1.0,1000000.0,0.0,0.0,1000000.0,Health Resources and Services Administration,1.0,Southern US,Health Care,"Health Care, Health Diagnostics, Hospital, Medical, Personal Health, Wellness","Memphis, Tennessee, United States"
Xpressbees,Private,For Profit,10001+,Series G,2023-11-06,2015-09-01,month,Active,2.0,11.0,80000000.0,80000000.0,552657516.0,622390664.0,"Alibaba Group, Elevation Capital, Investcorp, InnoVen Capital, Vertex Ventures",18.0,Asia-Pacific (APAC),"Commerce and Shopping, Transportation","Delivery Service, E-Commerce, Logistics, Supply Chain Management","Pune, Maharashtra, India"
Veolia UK,Private,For Profit,10001+,Grant,2022-05-09,1853-01-01,year,Active,1.0,1.0,42802464.0,0.0,0.0,42802464.0,Innovate UK,1.0,"Europe, Middle East, and Africa (EMEA)","Energy, Professional Services, Software, Sustainability","Developer Platform, Energy, Energy Management, Environmental Consulting, Innovation Management, Waste Management, Water Purification","London, England, United Kingdom"
Duke Energy Florida,Private,For Profit,10001+,Debt Financing,2019-12-02,1904-01-01,day,Active,3.0,1.0,900000000.0,0.0,0.0,900000000.0,"PNC Bank, Drexel Hamilton, LLC, CastleOak Securities, Samuel A. Ramirez & Co, Great Pacific Securities",6.0,"East Coast, Southern US","Energy, Natural Resources, Sustainability","Clean Energy, Energy, Oil and Gas","Charlotte, North Carolina, United States"
Four Seasons Health Care,Private,For Profit,10001+,Debt Financing,2018-02-09,1987-01-01,year,Active,1.0,2.0,96802744.0,0.0,0.0,96802744.0,"Pollen Street Capital, H2 Equity Partners",2.0,"Europe, Middle East, and Africa (EMEA)",Health Care,"Health Care, Hospital, Nursing and Residential Care","Wilmslow, Cheshire, United Kingdom"
Webhelp,Private,For Profit,10001+,Debt Financing,2018-11-22,2000-01-01,year,Active,3.0,2.0,114025.0,0.0,0.0,114025.0,"October, Idinvest Partners",2.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Internet Services, Professional Services","Consulting, Internet, Outsourcing","Paris, Ile-de-France, France"
Pilot Flying,Private,For Profit,10001+,Grant,2023-08-15,1958-01-01,year,Active,1.0,3.0,812990.0,0.0,0.0,1292990.0,"Berkshire Hathaway, PennDOT, Illinois Environmental Protection Agency",3.0,Southern US,"Energy, Natural Resources, Travel and Tourism","Oil and Gas, Travel","Knoxville, Tennessee, United States"
Comision Federal de Electricidad,Private,For Profit,10001+,Debt Financing,2024-05-08,1937-01-01,year,Active,1.0,1.0,161202788.0,0.0,0.0,161202788.0,Agence Française de Développement,1.0,Latin America,Energy,Electrical Distribution,"Mexico City, Distrito Federal, Mexico"
Carzone,Private,For Profit,10001+,Series D,2021-09-16,1995-01-01,year,Active,1.0,7.0,200000000.0,200000000.0,706711340.0,706711340.0,"Warburg Pincus, Alibaba Group, Goldman Sachs, GS Growth, PAG",11.0,Asia-Pacific (APAC),"Commerce and Shopping, Transportation","Automotive, E-Commerce","Nanjing, Jiangsu, China"
Gorillas,Private,For Profit,10001+,Non-equity Assistance,2022-06-15,2020-05-01,month,Active,6.0,6.0,0.0,1000000000.0,1335415310.0,1335415310.0,"Thrive Capital, Tencent, Delivery Hero, Google for Startups, Greenoaks",25.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Administrative Services, Commerce and Shopping, Food and Beverage, Transportation","Delivery, Delivery Service, E-Commerce, Grocery","Berlin, Berlin, Germany"
China Bank,Private,For Profit,10001+,Debt Financing,2015-06-30,1920-01-01,year,Active,1.0,1.0,158000000.0,0.0,0.0,158000000.0,"ANZ, Doha Bank, Korea Development Bank, Mizuho Corporate Bank, Mega International Commercial Bank",8.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Financial Services, Lending and Investments, Payments","Banking, Financial Services, Payments","Philippine, Benguet, Philippines"
Geisinger,Private,For Profit,10001+,Grant,2024-01-10,1915-01-01,year,Active,1.0,1.0,948741.0,0.0,0.0,948741.0,U.S. Department of Agriculture,1.0,"Great Lakes, Northeastern US",Health Care,"Health Care, Hospital, Medical","Danville, Pennsylvania, United States"
Froxt,Private,For Profit,10001+,Series A,2021-03-05,2015-01-01,year,Active,1.0,2.0,150000000.0,150000000.0,200000000.0,200000000.0,Froxt Corporation,1.0,"Europe, Middle East, and Africa (EMEA)","Apps, Hardware, Information Technology, Internet Services, Software","Apps, Cloud Infrastructure, Enterprise Software, Information Technology, Internet, Software","London, England, United Kingdom"
Love's Travel Stops & Country Stores,Private,For Profit,10001+,Grant,2023-08-15,1964-01-01,year,Active,1.0,2.0,634756.0,0.0,0.0,1114756.0,"PennDOT, Illinois Environmental Protection Agency",2.0,Southern US,Travel and Tourism,Travel,"Oklahoma City, Oklahoma, United States"
Baystate Health,Private,Non-profit,10001+,Grant,2019-06-03,1883-12-24,day,Active,1.0,1.0,3900000.0,0.0,0.0,3900000.0,Massachusetts Life Sciences Center,1.0,"East Coast, New England, Northeastern US","Administrative Services, Health Care, Sports","Delivery, Fitness, Health Care, Hospital, Medical Device, Staffing Agency","Springfield, Massachusetts, United States"
Fraunhofer-Gesellschaft,Private,For Profit,10001+,Grant,2016-09-02,1949-01-01,year,Active,1.0,1.0,2418108.0,0.0,0.0,2418108.0,SBRI Healthcare,1.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Data and Analytics, Design, Energy, Natural Resources, Sustainability","Energy, Market Research, Solar","Munich, Bayern, Germany"
LexisNexis,Private,For Profit,10001+,Corporate Round,2021-06-16,1970-01-01,year,Active,1.0,2.0,0.0,0.0,30000000.0,30000000.0,"Kaplan, WR Hambrecht, Commerce One, Actua Corporation, Equivo",7.0,"East Coast, Northeastern US","Financial Services, Professional Services, Software","Accounting, Legal, Risk Management, Software","Albany, New York, United States"
Longcheer,Private,For Profit,10001+,Series B,2021-03-12,2002-01-01,year,Active,1.0,2.0,100000000.0,100000000.0,100000000.0,100000000.0,"Shenzhen Capital Group, Shunwei Capital, FutureX Capital, Forebright Capital, West Fountain Global Fund",10.0,Asia-Pacific (APAC),"Hardware, Software","Software, Telecommunications","Shanghai, Shanghai, China"
University of Glasgow,Private,For Profit,10001+,Grant,2024-04-02,1451-01-07,day,Active,1.0,4.0,6162290.0,0.0,0.0,9926319.0,"UK Research and Innovation, Engineering and Physical Sciences Research Council, Local Policy Innovation Partnership",3.0,"Europe, Middle East, and Africa (EMEA)","Education, Other","Education, Universities","Glasgow, Glasgow City, United Kingdom"
DNV GL,Private,For Profit,10001+,Grant,2019-03-18,1864-01-01,day,Active,1.0,3.0,191667.0,0.0,0.0,1316452.0,"Australian Renewable Energy Agency, NYSERDA",2.0,"Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)","Energy, Government and Military, Manufacturing, Natural Resources, Other","Commercial, Industrial, Infrastructure, Oil and Gas, Public Safety","Oslo, Oslo, Norway"
University of Florida,Private,For Profit,10001+,Grant,2024-06-26,1853-01-01,year,Active,1.0,4.0,1302984.0,0.0,0.0,4655211.0,"National Institute of Food and Agriculture, Parkinson's Foundation, ARPA-E, Maddie's Fund",4.0,"East Coast, Southern US",Education,Higher Education,"Gainesville, Florida, United States"
Epic Group,Private,For Profit,10001+,Debt Financing,2024-06-17,1971-01-01,year,Active,1.0,1.0,100000000.0,0.0,0.0,100000000.0,International Finance Corporation,1.0,Asia-Pacific (APAC),"Clothing and Apparel, Design, Manufacturing","Fashion, Manufacturing, Textiles","Kwun Tong, Kowloon, Hong Kong"
TVS Supply Chain Solutions,Private,For Profit,10001+,Venture - Series Unknown,2021-10-14,1993-01-01,year,Active,1.0,6.0,81132799.0,81132799.0,208328162.0,317109613.0,"EXOR N.V., Mitsubishi Corporation, Kotak Alternate Asset Managers, Gateway Partners, Tata Opportunities Fund (TOF)",5.0,"Europe, Middle East, and Africa (EMEA)","Other, Transportation","Logistics, Service Industry, Supply Chain Management","Langley, Isle of Wight, United Kingdom"
OncoImmune,Private,For Profit,10001+,Series B,2020-09-09,2000-01-01,year,Active,4.0,3.0,56000000.0,56000000.0,74000000.0,74000000.0,"Kaitai Capital, 3E Bioventures, GF Xinde Investment Management, Huimei Capital, GBA Fund",5.0,"Washington DC Metro Area, East Coast, Southern US","Biotechnology, Health Care, Science and Engineering","Biopharma, Biotechnology, Health Care, Medical Device, Pharmaceutical","Rockville, Maryland, United States"
B. Braun Medical,Private,For Profit,10001+,Debt Financing,2020-10-27,1839-01-01,year,Active,3.0,1.0,25000.0,0.0,0.0,25000.0,Ben Franklin Technology Partners of Northeastern Pennsylvania,1.0,"Great Lakes, Northeastern US","Education, Health Care, Manufacturing","Clinical Trials, Education, Health Care, Manufacturing, Medical Device, Pharmaceutical","Bethlehem, Pennsylvania, United States"
Kaleida Health,Private,Non-profit,10001+,Grant,2023-12-07,1956-01-01,year,Active,1.0,4.0,0.0,0.0,0.0,26157605.0,"New York State, Exact Sciences, Vital Access Provider",3.0,"Great Lakes, East Coast, Northeastern US","Health Care, Other, Social Impact, Sports","Fitness, Health Care, Non Profit, Sports","Buffalo, New York, United States"
TVS Logistics Services,Private,For Profit,10001+,Corporate Round,2019-06-03,1995-01-01,year,Active,1.0,4.0,3614184.0,3614184.0,56614184.0,211614184.0,"Goldman Sachs, Caisse de Depot et Placement du Quebec, Mitsubishi Corporation, Nippon Express",4.0,Asia-Pacific (APAC),"Manufacturing, Transportation","Logistics, Manufacturing, Supply Chain Management","Chennai, Tamil Nadu, India"
Duke Energy Indiana,Private,For Profit,10001+,Private Equity,2021-01-28,1941-06-09,day,Active,3.0,1.0,1025000000.0,1025000000.0,1025000000.0,1025000000.0,GIC,1.0,"Greater Chicago Area, Great Lakes, Midwestern US","Energy, Natural Resources, Sustainability","Clean Energy, Energy, Oil and Gas","Plainfield, Illinois, United States"
Wanda Commercial Management Group,Private,For Profit,10001+,Private Equity,2024-02-06,2002-09-01,month,Active,1.0,3.0,0.0,0.0,5365323284.0,5799122917.0,"JD.com, Tencent, Abu Dhabi Investment Authority, Suning.com, Sunac China Holdings",6.0,Asia-Pacific (APAC),"Other, Real Estate","Commercial, Commercial Real Estate","Beijing, Beijing, China"
Georgia Tech Research,Private,Non-profit,10001+,Grant,2024-03-13,1937-01-01,year,Active,4.0,5.0,2400000.0,0.0,0.0,6279458.0,"US Department of Commerce, Economic Development Administation, US Department of Energy, U.S. Department of Commerce, Alfred P. Sloan Foundation",4.0,"Greater Atlanta Area, East Coast, Southern US","Biotechnology, Information Technology, Other, Science and Engineering, Social Impact","Association, Biotechnology, Information Technology, Non Profit","Atlanta, Georgia, United States"
Goodwill Industries International,Private,Non-profit,10001+,Grant,2019-07-08,1902-01-01,year,Active,1.0,1.0,4500000.0,0.0,0.0,4500000.0,Employment and Training Administration,1.0,"Washington DC Metro Area, East Coast, Southern US","Education, Health Care, Other, Social Impact","Education, Health Care, Non Profit","Rockville, Maryland, United States"
PPG Aerospace,Private,For Profit,10001+,Venture - Series Unknown,2019-12-17,1920-01-01,year,Active,1.0,1.0,15500000.0,15500000.0,15500000.0,15500000.0,PPG Industries,1.0,"Greater Atlanta Area, East Coast, Southern US","Science and Engineering, Transportation","Aerospace, Air Transportation, Chemical, Transportation","Atlanta, Georgia, United States"
Feinstein Institute for Medical Research,Private,For Profit,10001+,Grant,2023-04-28,1997-01-01,year,Active,1.0,11.0,3400000.0,0.0,0.0,42900000.0,"National Institutes of Health, Wellcome Trust, New York State Department of Health, Patient-Centered Outcomes Research Institute, National Institute of General Medical Science",6.0,"Greater New York Area, East Coast, Northeastern US","Content and Publishing, Health Care, Media and Entertainment, Professional Services","Consulting, Health Care, Health Diagnostics, Medical, Publishing","Manhasset, New York, United States"
RECLO,Private,For Profit,10001+,Venture - Series Unknown,2019-08-23,2014-01-01,year,Active,1.0,3.0,34154100.0,34154100.0,186224213.0,186224213.0,"Mizuho Bank, SBI Investment, CITIC Capital Holdings, ITOCHU Technology Ventures, B Dash Ventures",7.0,Asia-Pacific (APAC),"Apps, Commerce and Shopping, Software","Apps, E-Commerce, Secondhand Goods, Shopping","Tokyo, Tokyo, Japan"
Pacific Gas and Electric Company,Private,For Profit,10001+,Grant,2023-05-10,1905-01-01,day,Active,2.0,1.0,2500000.0,0.0,0.0,2500000.0,US Department of Energy,1.0,"San Francisco Bay Area, West Coast, Western US","Energy, Hardware","Energy, Telecommunications","San Francisco, California, United States"
ComEd (Commonwealth Edison),Private,For Profit,10001+,Grant,2023-08-10,1907-09-01,month,Active,1.0,4.0,500000.0,0.0,0.0,8700000.0,US Department of Energy,1.0,"Greater Chicago Area, Great Lakes, Midwestern US","Energy, Other, Professional Services","Customer Service, Electrical Distribution","Chicago, Illinois, United States"
CARD MRI,Private,For Profit,10001+,Debt Financing,2023-01-26,1986-01-01,year,Active,1.0,1.0,4000000.0,0.0,0.0,4000000.0,Asian Development Bank,1.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Agriculture and Farming,Agriculture,"San Pablo City, San Pablo, Philippines"
Amazon Wholesale India,Private,For Profit,10001+,Venture - Series Unknown,2016-12-07,1994-01-01,year,Active,1.0,1.0,23500000.0,23500000.0,23500000.0,23500000.0,Amazon,1.0,Asia-Pacific (APAC),"Commerce and Shopping, Internet Services, Other, Professional Services, Software","B2B, Business Development, E-Commerce, Web Browsers","New Delhi, Delhi, India"
Shijiazhuang Junlebao Dairy,Private,For Profit,10001+,Undisclosed,2020-03-18,1995-01-01,year,Active,1.0,2.0,170275563.0,170275563.0,739330363.0,739330363.0,"Sequoia Capital China, Primavera Capital Group, Ping An Capital, Junqian Management",4.0,Asia-Pacific (APAC),Food and Beverage,Food and Beverage,"Shijiazhuang, Hebei, China"
VINATEX,Private,For Profit,10001+,Venture - Series Unknown,2018-04-04,1995-01-01,year,Active,1.0,1.0,47000000.0,47000000.0,47000000.0,47000000.0,ITOCHU Corporation,1.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Clothing and Apparel, Design, Manufacturing","Fashion, Manufacturing, Textiles","Hanoi, NA - Vietnam, Vietnam"
Texas Health Resources,Private,Non-profit,10001+,Grant,2022-08-10,1997-01-01,year,Active,3.0,1.0,260000.0,0.0,0.0,260000.0,UnitedHealthcare,1.0,"Dallas/Fort Worth Metroplex, Southern US",Health Care,"Health Care, Medical","Arlington, Texas, United States"
KUAYUE-EXPRESS,Private,For Profit,10001+,Series A,2019-05-03,2007-08-13,day,Active,1.0,2.0,1484859.0,1484859.0,1917235.0,1917235.0,"Sequoia Capital China, Eastern Bell Capital, Tianyi Ziteng, Ningbo Puhui Qiye Guanli",4.0,Asia-Pacific (APAC),Transportation,"Air Transportation, Logistics, Transportation","Shenzhen, Guangdong, China"
PLDT,Private,For Profit,10001+,Grant,2020-02-27,1928-01-01,year,Active,1.0,2.0,1000000.0,0.0,0.0,1000000.0,"Wavemaker Partners, U.S. Trade and Development Agency",2.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Hardware, Mobile","Mobile, Telecommunications","Makati, Manila, Philippines"
Charming Charlie,Private,For Profit,10001+,Series A,2016-06-08,2004-01-01,year,Active,1.0,2.0,10380005.0,10380005.0,90779982.0,90779982.0,Hancock Park Associates,1.0,"Greater Houston Area, Southern US","Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design","Fashion, Jewelry, Retail, Women's","Houston, Texas, United States"
Maverick Therapeutics,Private,For Profit,10001+,Venture - Series Unknown,2017-01-01,2016-01-01,year,Active,1.0,1.0,125000000.0,125000000.0,125000000.0,125000000.0,"Takeda, MPM Capital",2.0,"San Francisco Bay Area, West Coast, Western US","Biotechnology, Science and Engineering",Biotechnology,"Brisbane, California, United States"
Welspun Energy,Private,For Profit,10001+,Debt Financing,2015-10-13,2002-01-01,year,Active,1.0,5.0,452000000.0,165000000.0,505000000.0,979500000.0,"Apollo, General Electric, Asian Development Bank",3.0,Asia-Pacific (APAC),"Energy, Natural Resources, Sustainability","Clean Energy, Energy, Renewable Energy, Solar, Wind Energy","New Delhi, Delhi, India"
Volvo Trucks North America,Private,For Profit,10001+,Grant,2020-10-19,1986-01-01,year,Active,2.0,1.0,21700000.0,0.0,0.0,21700000.0,"U.S. Environmental Protection Agency, South Coast Air Quality Management District",2.0,"East Coast, Southern US",Manufacturing,Manufacturing,"Greensboro, North Carolina, United States"
Essentia Health,Private,Non-profit,10001+,Grant,2022-08-11,2004-01-01,month,Active,1.0,1.0,225000.0,0.0,0.0,225000.0,Otto Bremer Trust,1.0,"Great Lakes, Midwestern US","Health Care, Other, Social Impact","Health Care, Hospital, Non Profit","Duluth, Minnesota, United States"
Pakistan International Airlines Corp,Private,For Profit,10001+,Debt Financing,2015-11-26,1946-01-01,year,Active,1.0,1.0,120000000.0,0.0,0.0,120000000.0,Mashreq Bank,1.0,"Asia-Pacific (APAC), Middle East and North Africa (MENA)","Government and Military, Transportation","Air Transportation, Government, Transportation","Karachi, Sindh, Pakistan"
Amtek Global Technologies,Private,For Profit,10001+,Debt Financing,2014-11-10,1988-01-01,year,Active,1.0,1.0,291957382.0,0.0,0.0,291957382.0,Kohlberg Kravis Roberts,1.0,Asia-Pacific (APAC),"Manufacturing, Science and Engineering, Transportation","Automotive, Industrial Engineering, Manufacturing","New Delhi, Delhi, India"
Legacy Health,Private,For Profit,10001+,Grant,2022-02-18,1989-01-01,year,Active,1.0,1.0,2200000.0,0.0,0.0,2200000.0,U.S. Department of Health & Human Services,1.0,"West Coast, Western US",Health Care,"Health Care, Outpatient Care, Wellness","Portland, Oregon, United States"
Gleneagles Global Hospitals,Private,For Profit,10001+,Series B,2015-08-27,1998-01-01,year,Active,1.0,3.0,4260000.0,4260000.0,22740000.0,22740000.0,Rattha Group,1.0,Asia-Pacific (APAC),Health Care,"Health Care, Hospital, Medical","Hyderabad, Andhra Pradesh, India"
University College London (UCL),Private,For Profit,10001+,Grant,2024-06-03,1826-02-11,day,Active,2.0,4.0,54536.0,0.0,0.0,1759684.0,"Amazon, Midven, SBRI Healthcare, Greater London Authority, Built by Nature",5.0,"Europe, Middle East, and Africa (EMEA)","Education, Other","Education, Higher Education, Universities","London, England, United Kingdom"
Seattle Children’s,Private,Non-profit,10001+,Grant,2022-09-27,1907-01-01,year,Active,1.0,2.0,200000.0,0.0,0.0,200000.0,"Consortium For Technology & Innovation in Pediatrics, Hyundai Hope On Wheels",2.0,"Greater Seattle Area, West Coast, Western US","Biotechnology, Health Care, Science and Engineering, Travel and Tourism","Biotechnology, Health Care, Hospital, Hospitality","Seattle, Washington, United States"
OYO Hotels & Homes (Singapore),Private,For Profit,10001+,Debt Financing,2021-03-12,2013-01-01,year,Active,1.0,1.0,204000000.0,0.0,0.0,204000000.0,SoftBank Vision Fund,1.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Real Estate, Travel and Tourism","Home Services, Hotel","Singapore, Central Region, Singapore"
Торговый Дом «РИФ»,Private,For Profit,10001+,Private Equity,2023-02-05,2010-01-01,year,Active,1.0,1.0,770000000.0,770000000.0,770000000.0,770000000.0,Matvey Yozhikov,1.0,"Europe, Middle East, and Africa (EMEA)","Agriculture and Farming, Transportation","Agriculture, Fleet Management, Logistics","Rostov, Rostov, Russian Federation"
Medicover Hospitals,Private,For Profit,10001+,Series B,2017-09-22,2011-01-01,day,Active,1.0,3.0,16400000.0,16400000.0,28780000.0,28780000.0,"Celox Group, Aniruddh Mundra",2.0,Asia-Pacific (APAC),"Health Care, Travel and Tourism","Health Care, Hospital, Hospitality","Hyderabad, Andhra Pradesh, India"
SP Apparels,Private,For Profit,10001+,Venture - Series Unknown,2016-08-02,1989-01-01,year,Active,2.0,1.0,10700000.0,10700000.0,10700000.0,10700000.0,"Morgan Stanley, Goldman Sachs, UTI Mutual Fund, Birla Sun Life Insurance, DSP Blackrock",6.0,Asia-Pacific (APAC),"Clothing and Apparel, Commerce and Shopping, Design, Manufacturing, Sales and Marketing","Apparel, Fashion, Manufacturing, Retail, Sales","Avanashi, Tamil Nadu, India"
Scripps Health,Private,Non-profit,10001+,Grant,2022-01-19,1924-01-01,year,Active,1.0,1.0,125000.0,0.0,0.0,125000.0,Hearst Foundations,1.0,"Greater San Diego Area, West Coast, Western US","Health Care, Other, Social Impact, Sports","Association, Fitness, Health Care, Hospital, Medical, Non Profit","San Diego, California, United States"
SCIO Health Analytics,Private,For Profit,10001+,Venture - Series Unknown,2015-01-14,2007-01-01,year,Active,4.0,4.0,2000000.0,2000000.0,17929754.0,17929754.0,"Peak XV Partners, Saama Capital, Silicon Valley Bank",3.0,"East Coast, New England, Northeastern US","Data and Analytics, Health Care, Software","Analytics, Health Care, Software","West Hartford, Connecticut, United States"
University of Colorado,Private,For Profit,10001+,Grant,2023-07-27,1876-01-01,year,Active,1.0,3.0,0.0,0.0,0.0,500000.0,"US Department of Commerce, Economic Development Administation, US Department of Energy",2.0,"Greater Denver Area, Western US","Education, Other","Education, Higher Education, Universities","Denver, Colorado, United States"
Black & Veatch,Private,For Profit,10001+,Grant,2023-03-09,1915-01-01,year,Active,2.0,2.0,0.0,0.0,0.0,0.0,Water Research Foundation,1.0,Midwestern US,"Manufacturing, Other, Professional Services, Real Estate, Science and Engineering","Construction, Consulting, Industrial Engineering, Infrastructure","Overland Park, Kansas, United States"
FINCA Impact Finance,Private,For Profit,10001+,Debt Financing,2020-04-27,1984-01-01,year,Active,1.0,1.0,15000000.0,0.0,0.0,15000000.0,Calvert Impact Capital,1.0,"Washington DC Metro Area, Southern US",Financial Services,"Finance, Financial Services","Washington, District of Columbia, United States"
Taco Bell,Private,For Profit,10001+,Series A,2022-06-01,1962-03-21,day,Active,1.0,2.0,0.0,0.0,0.0,13700000.0,"Norwest Mezzanine Partners, Daniel Budzinski",2.0,"Greater Los Angeles Area, West Coast, Western US","Commerce and Shopping, Financial Services, Food and Beverage, Health Care","Food and Beverage, Gift Card, Nutrition, Restaurants","Irvine, California, United States"
Pyramid Hotel Group,Private,For Profit,10001+,Venture - Series Unknown,2016-11-04,1999-01-01,year,Active,1.0,1.0,1000000.0,1000000.0,1000000.0,1000000.0,Ares Capital Corporation,1.0,"Greater Boston Area, East Coast, New England","Administrative Services, Financial Services, Other, Real Estate, Travel and Tourism","Asset Management, Hospitality, Project Management, Property Management","Boston, Massachusetts, United States"
Aga Khan Development Network,Private,For Profit,10001+,Venture - Series Unknown,2019-05-01,1967-01-01,year,Active,1.0,2.0,3620000.0,3620000.0,72120000.0,72120000.0,British International Investment,1.0,"Greater New York Area, East Coast, Northeastern US","Health Care, Manufacturing, Other, Social Impact","Health Care, Industrial, Non Profit","New York, New York, United States"
SSM Health Cardinal Glennon Children's Hospital,Private,Non-profit,10001+,Grant,2023-11-21,1956-01-01,year,Active,1.0,2.0,0.0,0.0,0.0,9250000.0,Baldrick's Foundation,1.0,Midwestern US,Health Care,"Health Care, Hospital, Medical","St Louis, Missouri, United States"
Laing O'Rourke,Private,For Profit,10001+,Grant,2017-04-20,1978-01-01,year,Active,1.0,2.0,1578875.0,0.0,0.0,2360806.0,Australian Renewable Energy Agency,1.0,"Europe, Middle East, and Africa (EMEA)","Energy, Natural Resources, Other, Real Estate","Construction, Infrastructure, Oil and Gas","Dartford, Kent, United Kingdom"
